Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Cluster
Australia,2019,Fruits & Vegetables,19268.63,18686.68,72.69,87.59,53.64,0
Indonesia,2019,Prepared Food,3916.970000000001,4394.48,192.52,1153.99,30.61,0
Germany,2022,Dairy Products,9700.159999999998,8909.160000000002,166.94,1006.11,48.08,0
France,2023,Fruits & Vegetables,46299.69,40551.22,120.19,953.05,31.91,1
France,2023,Beverages,33096.57,36980.82,104.74,1105.47,36.06,1
India,2024,Fruits & Vegetables,11962.89,11196.04,136.21,1311.91,37.09,0
Germany,2024,Prepared Food,45038.72,39191.25,179.27,1349.45,68.93,1
China,2019,Fruits & Vegetables,12791.2,12233.28,90.8,1229.29,59.9,0
UK,2019,Meat & Seafood,14795.65,14346.97,128.91,450.33,59.01,0
India,2019,Grains & Cereals,12118.32,13631.17,141.75,359.26,42.42,0
South Africa,2024,Frozen Food,39478.7,40087.26,155.55,375.84,31.16,1
Japan,2022,Frozen Food,41025.9,35437.9,49.95,1219.43,33.79,1
USA,2024,Beverages,22924.85,22406.24,89.59,836.05,45.43,0
France,2018,Beverages,29295.07,34102.25,46.64,1286.73,32.95,1
USA,2022,Bakery Items,32457.98,27905.84,46.77,865.6,46.46,1
USA,2021,Meat & Seafood,43264.26,44777.94,41.81,665.18,48.22,1
Brazil,2021,Frozen Food,23131.08,21882.67,50.79,853.06,49.78,0
Saudi Arabia,2020,Prepared Food,18483.82,21071.65,198.62,143.12,48.83,0
UK,2022,Meat & Seafood,25829.56,20806.34,119.62,185.01,32.51,0
China,2018,Prepared Food,11314.08,10287.7,111.67,953.52,33.75,0
Saudi Arabia,2019,Fruits & Vegetables,10653.369999999999,8992.33,74.16,37.76,46.44,0
Australia,2020,Fruits & Vegetables,1322.8199999999997,1394.0099999999984,88.85,205.78,30.63,0
India,2023,Meat & Seafood,33403.26,39125.38,137.6,1299.21,36.55,1
Italy,2023,Fruits & Vegetables,30875.29,31341.6,198.26,349.04,52.64,1
Saudi Arabia,2024,Prepared Food,33085.77,28923.13,37.71,552.45,38.96,1
Germany,2018,Beverages,12336.2,10077.909999999998,38.86,689.21,36.92,0
Brazil,2021,Bakery Items,5949.18,6656.139999999999,35.46,698.43,61.48,0
France,2018,Frozen Food,17470.52,16267.24,73.76,855.4,60.11,0
Spain,2021,Fruits & Vegetables,41676.18,43058.29,135.22,1325.54,54.32,1
Mexico,2018,Meat & Seafood,20604.34,23257.47,31.88,412.45,67.53,0
Argentina,2020,Bakery Items,49310.46,49520.57,21.69,983.97,55.47,1
Indonesia,2024,Frozen Food,26812.66,28028.3,57.0,891.66,48.81,1
Argentina,2022,Bakery Items,17868.63,20588.93,82.52,897.76,54.59,0
USA,2019,Bakery Items,13732.64,15129.94,156.84,618.88,38.14,0
Saudi Arabia,2019,Beverages,29827.95,31970.55,102.81,1235.4,66.68,1
Canada,2021,Frozen Food,28802.2,29584.64,190.42,687.81,33.73,1
South Korea,2023,Frozen Food,29848.3,27362.18,47.82,1131.8,49.97,1
Brazil,2024,Grains & Cereals,39420.56,34541.01,65.63,513.73,56.49,1
Brazil,2024,Prepared Food,37292.94,35268.41,80.6,619.76,57.0,1
Japan,2020,Beverages,44797.11,41233.8,64.74,1234.63,65.69,1
Japan,2023,Bakery Items,40398.07,48103.94,177.95,367.79,32.26,1
Russia,2020,Dairy Products,13679.64,14249.79,182.75,776.16,51.14,0
China,2024,Frozen Food,11766.79,11890.12,21.26,84.69,37.22,0
Argentina,2021,Meat & Seafood,24444.03,26615.82,123.83,303.78,60.73,1
Russia,2019,Bakery Items,15476.91,13087.99,176.5,1335.8,36.7,0
Saudi Arabia,2018,Frozen Food,2751.1500000000015,2310.760000000002,52.39,622.92,51.0,0
Italy,2024,Fruits & Vegetables,20238.65,18395.86,22.64,467.6,50.9,0
USA,2022,Dairy Products,8731.68,10040.12,63.83,543.41,42.96,0
UK,2023,Grains & Cereals,23609.83,25520.57,152.21,272.87,66.14,0
